Partition Line;********************
Full Name;ACH, Test 
Gender;Male
Age;
Birthdate;
Subject Number;
Medical Record;
Test Time;3/5/2020 2:28:26 PM
Reference;
Memo;

Time (sec.);X (sensor number);Y (sensor number);Level
4.4667;51;33;1
4.4667;51;34;2
4.4667;50;34;2
4.4667;49;34;3
4.4667;48;34;2
4.4667;51;35;2
4.4667;50;35;3
4.4667;49;35;2
4.4667;48;35;2
4.4667;40;34;1
4.4667;44;34;1
4.4667;41;34;6
4.4667;45;34;1
4.4667;42;34;5
4.4667;46;34;1
4.4667;47;34;2
4.4667;41;35;2
4.4667;42;35;1
4.4667;47;35;1
4.4750;51;33;0
4.4750;51;34;0
4.4750;50;34;0
4.4750;49;34;0
4.4750;48;34;0
4.4750;51;35;0
4.4750;50;35;0
4.4750;49;35;0
4.4750;48;35;0
4.4750;41;24;2
4.4750;42;24;1
4.4750;40;26;1
4.4750;40;27;1
4.4750;40;28;2
4.4750;40;29;1
4.4750;41;29;1
4.4750;40;30;2
4.4750;41;30;1
4.4750;40;31;1
4.4750;41;31;1
4.4750;40;32;1
4.4750;41;32;1
4.4750;41;33;1
4.4750;44;34;0
4.4750;41;34;1
4.4750;45;34;0
4.4750;42;34;0
4.4750;46;34;0
4.4750;47;34;0
4.4750;41;35;0
4.4750;42;35;0
4.4750;47;35;0
4.4750;32;24;1
4.4750;31;24;1
4.4833;41;24;0
4.4833;42;24;0
4.4833;40;26;0
4.4833;40;27;0
4.4833;40;28;0
4.4833;40;29;0
4.4833;41;29;0
4.4833;40;30;0
4.4833;41;30;0
4.4833;40;31;0
4.4833;41;31;0
4.4833;40;32;0
4.4833;41;32;0
4.4833;41;33;0
4.4833;40;34;0
4.4833;41;34;0
4.4833;32;24;0
4.4833;31;24;0
4.5417;50;31;1
4.5500;50;31;0
4.5667;40;31;3
4.5750;40;31;2
4.5833;40;31;0
4.6000;30;32;1
4.6417;37;25;1
4.6417;36;15;2
4.6417;35;15;2
4.6417;36;16;3
4.6417;36;17;2
4.6417;33;17;1
4.6417;36;18;2
4.6417;37;18;2
4.6417;37;19;2
4.6417;36;20;1
4.6417;37;22;2
4.6417;37;23;2
4.6417;30;32;0
4.6500;37;24;1
4.6500;38;24;1
4.6500;39;28;1
4.6500;36;15;0
4.6500;35;15;0
4.6500;36;16;1
4.6500;36;17;0
4.6500;33;17;0
4.6500;36;18;0
4.6500;37;18;0
4.6500;37;19;1
4.6500;36;20;0
4.6500;37;22;1
4.6500;37;23;1
4.6583;37;24;0
4.6583;38;24;0
4.6583;37;25;0
4.6583;39;28;0
4.6583;36;16;0
4.6583;37;19;0
4.6583;37;22;0
4.6583;37;23;0
4.7167;36;18;1
4.7167;36;19;1
4.7250;37;25;2
4.7250;39;27;1
4.7250;39;28;3
4.7250;36;18;0
4.7250;36;19;0
4.7333;37;25;1
4.7333;39;27;0
4.7333;39;28;0
4.7333;36;19;1
4.7417;37;25;0
4.7417;36;19;0
4.7750;37;25;2
4.7750;36;19;1
4.7833;37;24;1
4.7833;39;28;1
4.7917;37;24;0
4.7917;37;25;1
4.7917;36;19;0
4.8000;37;25;0
4.8583;36;19;1
4.8667;37;25;1
4.8917;39;28;0
4.9000;36;19;0
4.9083;36;19;1
4.9417;39;28;1
5.0917;39;28;0
5.1417;39;28;1
5.2833;39;28;0
5.3167;39;28;1
6.5833;39;28;0
6.6583;37;25;0
6.6667;36;19;0
6.7167;25;18;1
6.7333;25;18;2
6.7667;25;18;1
6.7917;25;18;0
6.8417;24;18;1
6.9167;24;18;0
38.9417;24;32;1
38.9417;22;30;2
38.9417;23;31;3
38.9417;22;31;3
38.9417;23;32;3
38.9500;24;31;3
38.9500;24;32;4
38.9500;24;33;3
38.9500;23;29;1
38.9500;22;29;3
38.9500;23;30;3
38.9500;22;30;3
38.9500;23;31;4
38.9500;22;31;4
38.9500;23;32;4
38.9500;22;32;2
38.9500;23;33;2
38.9583;24;29;3
38.9583;24;30;4
38.9583;25;30;3
38.9583;24;31;4
38.9583;25;31;3
38.9583;24;32;5
38.9583;25;32;4
38.9583;25;33;1
38.9583;23;29;4
38.9583;22;29;4
38.9583;23;30;4
38.9583;22;30;4
38.9583;22;32;1
38.9583;23;33;1
38.9667;24;28;3
38.9667;25;28;1
38.9667;24;29;4
38.9667;25;29;3
38.9667;25;30;4
38.9667;26;30;3
38.9667;24;31;5
38.9667;25;31;4
38.9667;26;31;3
